comment_id,company,role,description,has_ai_keywords,is_remote,location,salary,requires_python,requires_js,text_length,month,thread_id,scraped_date
41711876,MONUMENTAL,Not specified,"MONUMENTAL |
https://www.monumental.co/
| Amsterdam, The Netherlands | Full Time | Onsite
We’re creating robots that autonomously construct buildings. We design all of our hardware and software in-house in central Amsterdam, and we’re starting with autonomous bricklaying robots.
We have built a machine vision pipeline that can achieve sub-millimetre localisation on construction sites, and a neat software stack that lets us configure and control robots with ease. We’re deploying our robots on real construction sites and have started making the first revenue from our bricklaying-as-a-service model.
The software team is now nine people (~35 people overall), and continuing to grow. There’s strong customer demand for what we’re building, and we’re starting to scale up robot production to meet it.
Our stack is mostly: Rust, TypeScript, Python, NixOS.
Interested in getting your hands (sometimes literally) dirty solving interesting problems? Have a look at our open roles:
- Software Engineer, Controls
- Software Engineer, Machine Vision
- Other: assembly/manufacturing/electronics technicians, robot operators, workshop lead
https://www.monumental.co/jobs",False,False,Not specified,Not specified,True,True,1163,2024-10,41709301,2025-10-24
41712673,Count,Senior Software Engineer,"Count | Senior Software Engineer | REMOTE within UK/Europe | Full-time |
https://count.co
| £100-140k + Equity
Count is like Jupyter, Tableau and Miro combined in one tool. Some of the world's leading data teams use it for everything from iterating data models and performing in-depth analyses to creating process flow maps of their entire business.
We're a small team looking for experienced software engineers who are interested in tackling deep technical challenges in the data analytics space.
For the best possible user experience, we have developed various technologies in-house, including a custom WebGL rendering engine, our own data visualization library, and a reactive SQL/Python notebook and database query framework.
Example projects: accelerating rendering using quadtree tiling, extending interactivity and customizability of visualizations, leveraging LLMs in data exploration, developing serverless frameworks for executing database queries at high concurrency.
Our tech stack: TypeScript, Python, Node, WebAssembly, WebGL, Apache Arrow/Parquet, DuckDB, Kubernetes, React.
For more details and to apply:
https://jobs.ashbyhq.com/count/d49bdc38-96ea-4dbd-9ab5-ae4f5...",True,True,"experience, we",Not specified,True,True,1184,2024-10,41709301,2025-10-24
41714328,Column (,Not specified,"Column (
https://column.com/
) | Software Eng (Infrastructure), Software Eng (Backend), Software Eng (Product) | San Francisco, CA (ONSITE) | Full Time
Column is the first nationally chartered bank built from the ground up for developers. We provide an API first, modern banking experience for our customers, replacing the bloated middleware and legacy software that currently powers most financial companies.
Started by the co-founder of Plaid, Column has a team of <10 experienced engineers and is currently processing hundreds of billions in payments annually, supporting some of the largest and most sophisticated fintech companies. We are looking for ambitious infrastructure, product, and backend engineers that want to build the best-in-class banking tech from first principles. We all work on high impact, independently driven projects - writing code for regulated financial infrastructure at scale.
Apply here:
https://column.com/careers
Feel free to email me with any questions: praful@",False,False,"Francisco, CA",Not specified,False,False,996,2024-10,41709301,2025-10-24
41712715,Freed,Software Engineers (Fullstack / iOS / AI),"Freed | Software Engineers (Fullstack / iOS / AI) | REMOTE (US) |
https://getfreed.ai
| Full-time
Doctors are overworked, burnt out, and are quitting in masses.
I'm head of engineering at Freed, where we combine clinician love with the latest AI tech and intense execution to create products that make clinicians happier.
Our first product is an AI scribe that automates medical documentation. In 1 year we:
- Acquired 10,000 paying and loving clinicians and exceeded $11M ARR
- Generated 70,000 patient notes daily using ASR and LLMs
- Created a consumer-grade UX, with greater enthusiasm than any product I've seen (
https://love.getfreed.ai/b2xGQ1
)
With the backing of the best VCs in the world, we are rapidly expanding our product offering. Patient facing assistant, patient insights, EHR integrations, and other products are being built and used by thousands of clinicians and millions of patients.
Our engineering culture emphasizes speed, end-to-end ownership, responsibility, and independence. Our tech stack is React and TypeScript / Node.js.
Apply here:
https://www.getfreed.ai/careers?utm_source=Aob6wkJPZQ",True,True,"world, we",$11,False,True,1119,2024-10,41709301,2025-10-24
41710294,TritonX,"Mobile Developer, Firmware, Full Stack","TritonX | Mobile Developer, Firmware, Full Stack | Remote / Cleveland, OH
TritonX (
https://tritonx.co
) is hiring developers for mobile app development and firmware development to work on our remote patient monitoring platform and wearable sensor technology.  Patients with kidney disease, heart disease, and many other conditions are at risk for fluid overload and fluid depletion and symptoms appear too late for at home interventions. We are building an early warning system that will alert patients and providers to fluid imbalance while it can still be treated at home.
Successful applicants will be working on implementation of features for our wearable sensor and remote monitoring platform which will collect research data from human subjects with various disease diagnoses. We use C/C++ for embedded systems, Flutter for app development, Python on Google Cloud Platform for cloud software. Biomedical engineering experience preferred but not required.
Competitive salary. US citizenship or green card required. W-2 only. Contact eamon@tritonx.co",False,True,"Cleveland, OH",Not specified,True,False,1055,2024-10,41709301,2025-10-24
41714329,ElectricSQL,"a generalist web and systems engineer to join the core PGlite team, working mainly in Typescript, Rust and C++.","ElectricSQL |
https://electric-sql.com
| PGlite Engineer | Remote in Europe or eastern US | €80-100k + Equity
We're looking for a generalist web and systems engineer to join the core PGlite team, working mainly in Typescript, Rust and C++.
PGlite (
https://pglite.dev
) is a lightweight, embeddable WASM Postgres. It's a fast growing open source project, with 8k GitHub stars and 100k+ weekly downloads. It opens up new possibilities for local-first apps and systems built on an embedded, real-time, reactive Postgres, such as
https://postgres.new
Technically, you need strong Typescript and systems programming experience, ideally in C++ and Rust. It would be great if (but is not essential that) you're familiar with some aspects of database internals, filesystems and WASM.
We're a highly technical team working remote-first on a 4-day week. More information at
https://electric-sql.com/about/jobs/pglite-engineer",False,True,Not specified,€80-100k,False,True,916,2024-10,41709301,2025-10-24
41712172,EdgeDB,SREs / Infrastructure Engineers,"EdgeDB | SREs / Infrastructure Engineers | Full-time | Fully remote |
https://www.edgedb.com/
EdgeDB is an open-source database built on top of Postgres. It’s designed to give developers a better end-to-end user experience than traditional SQL databases. We provide a more expressive schema modeling & query language (EdgeQL), and ""batteries included"" features such as built-in schema migrations and a graphical schema browser, data explorer, and access control/auth.
We offer a hosted cloud service for EdgeDB, with the goal of doing developer-friendly cloud hosting ""the right way"" - we want users to use our hosted service because it's great, not because they're locked-in by restrictive licensing or cloud-only features.
We are looking for experienced SREs / infrastructure / devops engineers to help scale out our cloud. Unlike many infrastructure roles, this is not supporting a separate product team - for us, our infrastructure is our product. We are looking for people who care about not just building reliable infrastructure but also exposing that infrastructure to end-users as a seamless product.
Our tech stack is Hashicorp tools (Terraform, Consul, Nomad, Vault); Postgres; Golang with some Python & Rust; and AWS (with eventual expansion to other cloud platforms)
We are a remote-first company, headquartered in San Francisco, with most of the team working in US/Canada timezones and a few people in Europe. Unfortunately we are unable to provide any visa/immigration sponsorship at th",False,True,San Francisco,Not specified,True,False,1607,2024-10,41709301,2025-10-24
41717660,Taiyaki Studios,React Native,"Taiyaki Studios | React Native | Tokyo | On-site Full Time | Will Sponsor Visa
We’re creating animated dramas from Webtoons/Manga and releasing them on our own app/webapp.
This role will primarily focus on building the mobile and web platforms for delivering our shows, but as a small team of 4 we all wear many hats and are exploring creating interactive content as well.
We license finished shows and webtoons, and build tools to produce original content in-house.
Ideal candidate: We value fast learners who are language agnostic.
Bonus: Python, ComfyUI experience.
Japanese proficiency not required, though nice to have. We’ll pay for weekly lessons if you want them.
If you need visa sponsorship, you’ll need a bachelor’s or 10 years experience. Not our requirement, gov’t requirement. We’ll help with all relocation logistics.
We pay 20M JPY/yr (~$140k/yr) + equity, 3-4X median salary in Tokyo, you’ll live in luxury or save a good chunk of your salary.
What have you shipped, tinkered with, or hacked together? Let us know: careers@taiyakistudios.com",False,False,logistics.,$140k,True,True,1058,2024-10,41709301,2025-10-24
41715860,Tangram,Rust/Linux Programmer,"Tangram | Rust/Linux Programmer | Remote (USA) | Full Time
At Tangram, we are making a programmable build system and package manager. Check out the code samples here:
https://www.tangram.dev
. We are looking to work with programmers who have experience with systems programming, Linux, and Rust. As a founding engineer on a small team, you will have the opportunity to work on interesting technical problems, such as:
* Building a content-addressed distributed file system.
* Making builds serverless with Nomad, V8, and Firecracker.
We are well funded by investors including Kleiner Perkins and the founders of GitHub, Vercel, and Slack.
If you are interested in joining us on our mission to save programmers from suffering with slow, unreliable builds, please reach out at jobs@tangram.dev.",False,True,"Tangram, we",Not specified,False,False,792,2024-10,41709301,2025-10-24
41713603,76 Software Engineering Group,"Oklahoma City, OK","76 Software Engineering Group | Oklahoma City, OK | FULL-TIME | ONSITE | U.S. CITIZENSHIP REQUIRED
76 SWEG is a civilian software engineering organization operating under the United States Air Force. We are hundreds of (civilian) scientists and engineers that provide software, hardware, and engineering support solutions to a variety of Air Force and military platforms. We are located on Tinker Air Force Base in Oklahoma City, OK. We often operate like a contractor to other parts of the military and federal government by providing independent engineering services without seeking a profit. We have dozens of active projects using C, C++, C#, Java, Python, JavaScript, LabVIEW, Visual Basic, Assembly, Ada, Fortran, and other more esoteric languages. We have immediate opportunities available to hire candidates with degrees in Computer Science, Computer Engineering, Electrical Engineering, or closely-related fields.
If you are interested in learning more, please e-mail 76SMXG.Tinker.Careers@us.af.mil and tell them Jake sent you.",False,False,"City, OK",Not specified,True,True,1037,2024-10,41709301,2025-10-24
41714331,ProPublica,"Senior Engineer, Web and Publishing Products","ProPublica | Senior Engineer, Web and Publishing Products | Remote (US only) | Full-time
ProPublica is an independent, nonprofit newsroom that produces investigative journalism in the public interest.
We're looking for a full-stack senior product engineer to lead work on our publishing systems and core website. The right candidate will believe in our mission and thrive in a multifaceted role, contributing both to the long-term product road map and to hands-on development. Our CMS is PHP-based but we extensively use Python and Typescript across our internal systems.
Also, you'll be helping to speak against abuses of power and potentially protecting our democracy. Feeling good about that is a prerequisite to taking the position.
More details and application:
https://boards.greenhouse.io/propublica/jobs/4403685006",False,True,Not specified,Not specified,True,True,822,2024-10,41709301,2025-10-24
41715219,Instant,Not specified,"Instant |
https://instantdb.com
| Software Engineer | SF (ONSITE) | Full Time | 150-210K + Equity
Do you like SICP? Are you interested in Clojure? Do you geek out about real-time infrastructure (like Figma's LiveGraph or Asana's Luna)? We want to talk you.
--
We're building Instant - a modern Firebase. Instant gives you a database you can subscribe to directly in the browser. You write relational queries in the shape of the data you want and we handle all the data fetching, permission checking, and offline caching. When you write transactions, optimistic updates and rollbacks are handled for you as well. [1]
We went open source [2] in August, and had one of the biggest Show HN launches for a YC company [3]. We're backed by James Tamplin, the founder of Firebase, Paul Graham, Greg Brockman, Jeff Dean, and a slew of other angels.
## Who are we looking for?
First and foremost, we want to work with people who we will be friends with for a life time. We love high-integrity, optimistic, and principle-oriented people. Taking inspiration from Facebook, Airbnb, and YCombinator we deeply resonate with these three core values
* Move fast
* Be a host
* Make something people want
This is the hacker mentality we strive for — building quickly, being kind to each other, and honing in on delivering value. There’s a lot of opportunity to contribute to Instant’s architecture. If real-time infra sounds cool to you, we’d love to talk!
## Want to apply?
Send us an email at founders [at] instantdb.",False,False,"foremost, we",Not specified,False,False,1844,2024-10,41709301,2025-10-24
41709547,Zipline AI,REMOTE,"Zipline AI | REMOTE | Full Time
We’re rethinking the data platform for the modern age of AI/ML workflows.
Founding team built the Chronon open source project that powers all major AI/ML workflows at Airbnb and Stripe.
Funded with a $7m seed round led by Wing VC, Stripe, and Box Group.
Hiring for two roles
- Front-end:
https://docs.google.com/document/d/1hHgksMosuIFWWIx2Hf9kD18N...
- Data Infra:
https://docs.google.com/document/d/10o75QTLfkaHCiiT2BftBld8I...
Apply by reaching out to hello@zipline.ai",False,True,Not specified,$7,False,False,503,2024-10,41709301,2025-10-24
41711121,Overleaf,Senior Full Stack Engineer,"Overleaf | Senior Full Stack Engineer | Full-time | REMOTE | UK, Germany, Spain, Romania
Overleaf (
https://overleaf.com
) builds modern collaborative authoring tools for scientists — like Google Docs for Science. We have over 18 million registered users from around the world. Our primary product is an online, real-time collaborative editor for papers, theses, technical reports and other documents written in the LaTeX markup language. It’s used by around 600,000 people each day and hosts over 100 million projects.
We’re looking for Senior Full-Stack JS Engineers who are comfortable with backend and a bit of frontend, frontend and a bit of backend, or a balance of both.
Some reasons you’d enjoy working with us:
- You’ll be working alongside a cross-functional team, including designers, product managers and developers, to help Overleaf become the go-to place for scientific writing.
- Much of our code is open source, so you’ll often be working on open source.
- Remote is a first class citizen; all staff work remotely. We get everyone together 2–3 times each year for valuable face-to-face time.
Application Link:
https://digitalscience.pinpointhq.com/postings/65035683-4b48...",False,True,"backend, or",Not specified,False,False,1189,2024-10,41709301,2025-10-24
41710474,Beacon AI,Not specified,"Beacon AI |
https://beaconai.co
| San Carlos, CA | Full-Time | Hybrid
Beacon AI builds R2-D2 for pilots.
We are on a mission to make flight safer, more efficient, and accessible for commercial and defense aircraft operators by applying technology to the flight deck. We are building a modern technology stack with a data platform and web application (Lighthouse), and in-cockpit assistant (Murdock).
We recently signed new contracts with defense and commercial enterprises and completed new funding, and we’re backed by leading VCs and advisors.
Our small but talented engineering team is expanding to meet high customer demand. This is a unique opportunity to make a significant impact in a rapidly growing company at the forefront of aviation technology.
Engineering Opportunities:
We are expanding our team by 20-25 people with roles including:
++ Advanced Pilot Assistant Software
++ Cloud Infra & Backend
++ Routing and Path Optimization
++ Web Application/Front End
++ Tons of other roles coming soon
Apply directly at
https://www.beaconai.co/careers
and mention in the referral box that you found this post on HN!",False,False,"Carlos, CA",Not specified,False,False,1120,2024-10,41709301,2025-10-24
